county_id	rate
39001	.138
39003	.102
39005	.114
39007	.126
39009	.086
39011	.101
39013	.092
39015	.119
39017	.091
39019	.132
39021	.114
39023	.099
39025	.094
39027	.139
39029	.125
39031	.123
39033	.132
39035	.085
39037	.099
39039	.117
39041	.067
39043	.095
39045	.082
39047	.117
39049	.082
39051	.121
39053	.095
39055	.065
39057	.094
39059	.108
39061	.089
39063	.091
39065	.112
39067	.106
39069	.109
39071	.153
39073	.104
39075	.063
39077	.128
39079	.105
39081	.127
39083	.087
39085	.079
39087	.084
39089	.089
39091	.112
39093	.091
39095	.113
39097	.085
39099	.118
39101	.102
39103	.075
39105	.152
39107	.078
39109	.11
39111	.115
39113	.11
39115	.146
39117	.1
39119	.119
39121	.14
39123	.107
39125	.115
39127	.128
39129	.103
39131	.147
39133	.092
39135	.111
39137	.09
39139	.118
39141	.115
39143	.108
39145	.121
39147	.12
39149	.119
39151	.11
39153	.096
39155	.135
39157	.102
39159	.08
39161	.132
39163	.113
39165	.085
39167	.094
39169	.089
39171	.141
39173	.1
39175	.112

