longitude,latitude,name,address
-81.490061,40.992669,"Walmart Supercenter - Akron (S),  #1911,","2887 South Arlington St , I-77 Exit 120, Akron, OH, 44312, (330) 645-9556,"
-81.160605,40.900894,"Walmart Supercenter - Alliance,  #2541,","2700 W State St, Alliance, OH, 44601, (330) 821-0026,"
-84.198675,39.016104,"Walmart Supercenter - Amelia ,  Gas/Diesel, #3342,","1815 E Ohio Pike, Amelia, OH, 45102, (513) 797-5700,"
-82.272935,40.86207,"Walmart Supercenter - Ashland,  #1448,","1996 East Main St. , I-71 Exit 186, Ashland, OH, 44805, (419) 281-9537,"
-80.749652,41.882553,"Walmart Supercenter - Ashtabula,  #2359,","3551 N Ridge East, Ashtabula, OH, 44004, (440) 998-4000,"
-82.066094,39.335747,"Walmart Supercenter - Athens,  #3486,","929 East State St, Athens, OH, 45701, (740) 594-3398,"
-80.774102,41.098363,"Walmart Supercenter - Austintown,  #2063,","6001 Mahoning Ave, Austintown, OH, 44515, (330) 270-0001, (NOP)"
-82.017163,41.46632,"Walmart Supercenter - Avon ,  Gas, #5066,","35901 Chester Rd , I-90 Exit 153, Avon, OH, 44011, (440) 937-4750, (NOP)"
-81.388719,41.350688,"Walmart Supercenter - Bainbridge,  #3250,","7235 Market Place Dr, Bainbridge, OH, 44023, (330) 562-0000,"
-84.054869,39.771901,"Walmart Supercenter - Beavercreek (NE),  #2124,","3360 Pentagon Blvd , I-675 Exit 17, Beavercreek, OH, 45431, (937) 426-8227,"
-84.057502,39.771938,"Sam's Club - Beavercreek,  #6517,","3446 Pentagon Blvd , I-675 Exit 17, Beavercreek, OH, 45431, (937) 426-1511,"
-81.53106,41.406678,"Walmart Supercenter - Bedford,  #4342,","22209 Rockside Rd , I-271 Exit 26, Bedford, OH, 44146, (216) 587-0110,"
-83.758036,40.328461,"Walmart Supercenter - Bellefontaine ,  Gas/Diesel, #1264,","2281 S Main St, Bellefontaine, OH, 43311, (937) 592-4700,"
-80.632555,41.03362,"Sam's Club - Boardman (Youngstown),  Gas, #6322,","6361 South Ave , I-680 Exit 11, Boardman, OH, 44512, (330) 965-1643,"
-83.652355,41.355043,"Walmart Supercenter - Bowling Green ,  Gas/Diesel, #1913,","131 West Gypsy Lane, Bowling Green, OH, 43402, (419) 352-3776,"
-81.756894,41.41976,"Sam's Club - Brooklyn,  Gas, #6305,","10250 Brookpark Rd , I-480 Exit 13, Brooklyn, OH, 44130, (216) 265-0012,"
-84.549137,41.459679,"Walmart Supercenter - Bryan,  #2191,","1215 South Main, Bryan, OH, 43506, (419) 636-1535,"
-82.946137,40.810842,"Walmart Supercenter - Bucyrus,  #2613,","1875 East Mansfield, Bucyrus, OH, 44820, (419) 562-8101,"
