latitude	longitude	store	name	city	address	phone
39.351954	-84.461203	Skyline Chili 	Beckett Ridge	Beckett Ridge	8386 Princeton-Glendale Road, West Chester, OH	(513) 874-4211
39.269972	-84.37157	Skyline Chili 	Blue Ash	Blue Ash	5005 Cornell Road, Cincinnati, OH	(513) 489-8488
39.158767	-84.632024	Skyline Chili 	Bridgetown	Bridgetown	5560 Bridgetown Road, Cincinnati, OH	(513) 574-4777
39.289937	-84.466338	Skyline Chili 	Tri County	Tri County	85 East Kemper Road, Cincinnati, OH	(513) 671-4444
39.076643	-84.311171	Skyline Chili 	Cherry Grove	Cherry Grove	440 Ohio Pike, Cincinnati, OH	(513) 528-6611
39.158351	-84.750105	Skyline Chili 	Cleves	Cleves	250 S. Miami Ave., Cleves, OH	(513) 467-9333
39.143957	-84.51907	Skyline Chili 	Clifton	Clifton	290 Ludlow Avenue, Cincinnati, OH	(513) 221-2142
39.09508	-84.6143	Skyline Chili 	Delhi	Delhi	5137 Delhi Pike, Cincinnati, OH	(513) 451-7000
39.192136	-84.658417	Skyline Chili 	Dent	Dent	6485 Harrison Ave., Dent, OH	(513) 598-9798
39.101292	-84.265194	Skyline Chili 	Eastgate	Eastgate	856 Eastgate South Drive, Cincinnati, OH	(513) 752-4040
39.37518	-84.383268	Skyline Chili 	Lakota	Lakota	7132 Cincinnati Dayton Rd., Suite 100, West Chester, OH	(513) 777-7555
39.303222	-84.317036	Skyline Chili 	Escort Drive/Fields-Ertel	Escort Drive/Fields-Ertel	5214 Bardes Road, Mason, OH	(513) 398-4986
39.142676	-84.391075	Skyline Chili 	Fairfax	Fairfax	5816 Wooster Pike, Cincinnati, OH	(513) 271-0611
39.347043	-84.539884	Skyline Chili 	Fairfield	Fairfield	1190 Hicks Blvd., Fairfield, OH	(513) 829-8777
39.187845	-83.927203	Skyline Chili 	Fayetteville	Fayetteville	41 N. Dunham St., Fayetteville, OH	(513) 875-4750
39.232586	-84.510037	Skyline Chili 	Finneytown	Finneytown	9115 Winton Road, Cincinnati, OH	(513) 931-4008
